name,wording,uid,voice,tags
ACH_D3_Campaign_Darksword_1_obtained,Sacrificed more Heroes than necessary in the mission “I Am Your Father!”.,8544,,
ACH_D3_Campaign_Darksword_2_caption,Hearts of Iron,6584,,
ACH_D3_Campaign_Darksword_2_description,Complete the mission “I Am Your Father!” without the Dungeonheart taking any damage.,6585,,
ACH_D3_Campaign_Darksword_2_obtained,The Dungeonheart wasn’t damaged in the mission “I Am Your Father!”.,8545,,
ACH_D3_Campaign_Darksword_Completed_caption,Difficult family relationships,6582,,
ACH_D3_Campaign_Darksword_Completed_description,Complete the mission “I Am Your Father!”.,6583,,
ACH_D3_Campaign_Darksword_Completed_obtained,Completed the mission “I Am Your Father!”.,8543,,
ACH_D3_Campaign_DayNight_1_caption,Master of Traps,6536,,
ACH_D3_Campaign_DayNight_1_description,Kill at least 30 Heroes with the “Thrasher” Trap in the mission “The Crossing”.,6537,,
ACH_D3_Campaign_DayNight_1_obtained,Killed enough Heroes with the Thrasher in the mission “The Crossing”.,8520,,
ACH_D3_Campaign_DayNight_2_caption,Ignore The Level Designer’s Plan,6538,,
ACH_D3_Campaign_DayNight_2_description,Destroy at least 3 Hero tent camps during daylight in the mission “The Crossing”.,6539,,
ACH_D3_Campaign_DayNight_2_obtained,Destroyed enough Hero camps during daylight in the mission “The Crossing”.,8521,,
ACH_D3_Campaign_DayNight_Completed_caption,"A trip on sea, what fun it can be",6534,,
ACH_D3_Campaign_DayNight_Completed_description,Complete the mission “The Crossing”.,6535,,
ACH_D3_Campaign_DayNight_Completed_obtained,Completed the mission “The Crossing”.,8519,,
ACH_D3_Campaign_DemonStones_1_caption,The Stones’ Power,5941,,
ACH_D3_Campaign_DemonStones_1_description,Kill at least 15 Heroes using the Stones’ magic in the mission “The Gehenna Stones”.,5942,,
ACH_D3_Campaign_DemonStones_1_obtained,Killed enough Heroes using the Stones’ magic in the mission “The Gehenna Stones”.,8508,,
ACH_D3_Campaign_DemonStones_2_caption,The White Knight,5944,,
ACH_D3_Campaign_DemonStones_2_description,Don’t let Thalya's Life Energy fall below 75% during the mission “The Gehenna Stones”.,5943,,
ACH_D3_Campaign_DemonStones_2_obtained,Thalya's Life Energy never fell too low during the mission “The Gehenna Stones”.,8509,,
ACH_D3_Campaign_DemonStones_Completed_caption,The Gehenna Stones,5939,,
ACH_D3_Campaign_DemonStones_Completed_description,Complete the mission “The Gehenna Stones”.,5940,,
ACH_D3_Campaign_DemonStones_Completed_obtained,Completed the mission “The Gehenna Stones”.,8507,,
ACH_D3_Campaign_Demonicon_1_caption,Spawner Killer,6548,,
ACH_D3_Campaign_Demonicon_1_description,Destroy all of the Hero camps in the mission “The Storming of Dollaran”.,6549,,
ACH_D3_Campaign_Demonicon_1_obtained,Destroyed all of the Hero camps in the mission “The Storming of Dollaran”.,8526,,
ACH_D3_Campaign_Demonicon_2_caption,Storm And Stress,6550,,
ACH_D3_Campaign_Demonicon_2_description,Complete the mission “The Storming of Dollaran” in less than 40 minutes.,6551,,
ACH_D3_Campaign_Demonicon_2_obtained,Completed the mission “The Storming of Dollaran” in a minimum of time.,8527,,
ACH_D3_Campaign_Demonicon_Completed_caption,Stock Market Crash,6546,,
ACH_D3_Campaign_Demonicon_Completed_description,Complete the mission “The Storming of Dollaran”.,6547,,
ACH_D3_Campaign_Demonicon_Completed_obtained,Completed the mission “The Storming of Dollaran”.,8525,,
ACH_D3_Campaign_FancyFoods_1_caption,MASS-O-BOT,6530,,
ACH_D3_Campaign_FancyFoods_1_description,Own 5 Gob-O-Bots at any time in the mission “The End of Burgers' End”.,6531,,
ACH_D3_Campaign_FancyFoods_1_obtained,Ownes enough Gob-O-Bots in the mission “The End of Burgers' End”,8517,,
ACH_D3_Campaign_FancyFoods_2_caption,Then let them eat cake!,6532,,
ACH_D3_Campaign_FancyFoods_2_description,Don’t allow any deliveries to reach the city in the mission “The End of Burgers' End”.,6533,,
ACH_D3_Campaign_FancyFoods_2_obtained,No deliveries reached the city in the mission “The End of Burgers' End”.,8518,,
ACH_D3_Campaign_FancyFoods_Completed_caption,The last burger,6528,,
ACH_D3_Campaign_FancyFoods_Completed_description,Complete the mission “The End of Burgers' End”.,6529,,
ACH_D3_Campaign_FancyFoods_Completed_obtained,Completed the mission “The End of Burgers' End”.,8516,,
ACH_D3_Campaign_Fire_1_caption,Prepare the grave,6590,,
ACH_D3_Campaign_Fire_1_description,Don’t let the Grave Golem’s Life Energy fall below 50%.,6591,,
ACH_D3_Campaign_Fire_1_obtained,The Grave Golem’s Life Energy didn’t drop too much in the mission “Baptism of Fire”.,8547,,
ACH_D3_Campaign_Fire_2_caption,Not a scratch,6592,,
ACH_D3_Campaign_Fire_2_description,Complete the mission “Baptism of Fire” without Thalya taking any damage.,6593,,
ACH_D3_Campaign_Fire_2_obtained,Thaly didn’t take any damage in the mission “Baptism of Fire”.,8548,,
ACH_D3_Campaign_Fire_Completed_caption,Angel of Fire,6588,,
ACH_D3_Campaign_Fire_Completed_description,Complete the mission “Baptism of Fire”.,6589,,
ACH_D3_Campaign_Fire_Completed_obtained,Completed the mission “Baptism of Fire”.,8546,,
ACH_D3_Campaign_Graves_1_caption,Braiiiiins!,6518,,
ACH_D3_Campaign_Graves_1_description,Awaken at least 98 Undead in the mission “The Ashspring Swamplands”.,6519,,
ACH_D3_Campaign_Graves_1_obtained,Woke enough Undead in the mission “The Ashspring Swamplands”.,8511,,
ACH_D3_Campaign_Graves_2_caption,Night of the Living Dead (on Speed),6520,,
ACH_D3_Campaign_Graves_2_description,Conquer all Graveyards in less than 25 minutes in the mission “The Ashspring Swamplands”.,6521,,
ACH_D3_Campaign_Graves_2_obtained,Conquered all the Graveyards in the mission “The Ashspring Swamplands” in a minimum of time.,8512,,
ACH_D3_Campaign_Graves_Completed_caption,The Swamplanders from the swamplands,6516,,
ACH_D3_Campaign_Graves_Completed_description,Complete the mission “The Ashspring Swamplands”.,6517,,
ACH_D3_Campaign_Graves_Completed_obtained,Completed the mission “The Ashspring Swamplands”.,8510,,
ACH_D3_Campaign_Hammer_1_caption,The One-Huge-Army-Building Evil,6524,,
ACH_D3_Campaign_Hammer_1_description,Own at least 15 creatures at the same time in the mission “The Battle of Steelsmith”.,6525,,
ACH_D3_Campaign_Hammer_1_obtained,Owned a huge army in the mission “The Battle of Steelsmith”.,8514,,
ACH_D3_Campaign_Hammer_2_caption,Hands off the Dungeonheart!,6526,,
ACH_D3_Campaign_Hammer_2_description,The Dungeonheart must not fall below 50% life in the mission “The Battle of Steelsmith”.,6527,,
ACH_D3_Campaign_Hammer_2_obtained,The Dungeonheart was never too badly damaged in the mission “The Battle of Steelsmith”.,8515,,
ACH_D3_Campaign_Hammer_Completed_caption,Rusty Steel,6522,,
ACH_D3_Campaign_Hammer_Completed_description,Complete the mission “The Battle of Steelsmith”.,6523,,
ACH_D3_Campaign_Hammer_Completed_obtained,Completed the mission “The Battle of Steelsmith”.,8513,,
ACH_D3_Campaign_Hungry_1_caption,Thirst quencher,6566,,
ACH_D3_Campaign_Hungry_1_description,"Own more than 42 Barrels of Beer at the same time in the mission “The Hungry, Hungry Ogre”.",6567,,
ACH_D3_Campaign_Hungry_1_obtained,"Owned more than enough Barrels of Beer in the mission “The Hungry, Hungry Ogre”.",8535,,
ACH_D3_Campaign_Hungry_2_caption,Can’t stand to see an Ogre bleed,6568,,
ACH_D3_Campaign_Hungry_2_description,"The Ogre in the mission “The Hungry, Hungry Ogre” must not fall below 75% Life Energy.",6569,,
ACH_D3_Campaign_Hungry_2_obtained,"The Ogre’s Life Energy never dropped too far in the mission “The Hungry, Hungry Ogre”.",8536,,
ACH_D3_Campaign_Hungry_Completed_caption,Ogre Solo!,6564,,
ACH_D3_Campaign_Hungry_Completed_description,"Complete the mission “The Hungry, Hungry Ogre”.",6565,,
ACH_D3_Campaign_Hungry_Completed_obtained,"Completed the mission “The Hungry, Hungry Ogre”.",8534,,
ACH_D3_Campaign_Infested_1_caption,Lifesaver,6580,,
ACH_D3_Campaign_Infested_1_description,Don’t lose more than 8 units in the mission “The Titan of Alphaas”.,6581,,
ACH_D3_Campaign_Infested_1_obtained,Didn’t lose too many units in the mission “The Titan of Alphaas”.,8541,,
ACH_D3_Campaign_Infested_2_caption,Chorus of damnation,6578,,
ACH_D3_Campaign_Infested_2_description,Own at least 5 Banshees at the same time in the mission “The Titan of Alphaas”.,6579,,
ACH_D3_Campaign_Infested_2_obtained,Owned enough Banshees at the same time in the mission “The Titan of Alphaas”.,8542,,
ACH_D3_Campaign_Infested_Completed_caption,Destroy the thing,6576,,
ACH_D3_Campaign_Infested_Completed_description,Complete the mission “The Titan of Alphaas”.,6577,,
ACH_D3_Campaign_Infested_Completed_obtained,Completed the mission “The Titan of Alphaas”.,8540,,
ACH_D3_Campaign_Pain_1_caption,I need a hero!,6596,,
ACH_D3_Campaign_Pain_1_description,Kill 100 Heroes in the mission “Light and Shadow”.,6597,,
ACH_D3_Campaign_Pain_1_obtained,Killed enough Heroes in the mission “Light and Shadow”.,8550,,
ACH_D3_Campaign_Pain_2_caption,Prison Break,6598,,
ACH_D3_Campaign_Pain_2_description,Free Thalya in less than 45 minutes in the “Light and Shadow” mission.,6599,,
ACH_D3_Campaign_Pain_2_obtained,Freed Thalya very quickly in the mission “Light and Shadow”.,8551,,
ACH_D3_Campaign_Pain_Completed_caption,"Where there is Light, there is Shadow",6594,,
ACH_D3_Campaign_Pain_Completed_description,Complete the mission “Light and Shadow”.,6595,,
ACH_D3_Campaign_Pain_Completed_obtained,Completed the mission “Light and Shadow”.,8549,,
ACH_D3_Campaign_Renegade_1_caption,Flat as a pancake,6560,,
ACH_D3_Campaign_Renegade_1_description,Kill 50 Heroes by Catapult bombardment in the mission “Once Upon A Catapult”.,6561,,
ACH_D3_Campaign_Renegade_1_obtained,Killed enough Heroes by Catapult bombardment in the mission “Once Upon A Catapult”.,8532,,
ACH_D3_Campaign_Renegade_2_caption,I love the smell of Catapult fire!,6562,,
ACH_D3_Campaign_Renegade_2_description,Capture all of the Catapults in the mission “Once Upon A Catapult” in less than 30 minutes.,6563,,
ACH_D3_Campaign_Renegade_2_obtained,Captured all of the Catapults in the mission “Once Upon A Catapult” in a very short time.,8533,,
ACH_D3_Campaign_Renegade_Completed_caption,For a handfull of Catapults,6558,,
ACH_D3_Campaign_Renegade_Completed_description,Complete the mission “Once Upon A Catapult”.,6559,,
ACH_D3_Campaign_Renegade_Completed_obtained,Completed the mission “Once Upon A Catapult”.,8531,,
ACH_D3_Campaign_Ritual_1_caption,Can’t stand the sight of Dark Elf blood,6608,,
ACH_D3_Campaign_Ritual_1_description,Never let Thalya's Life Energy fall below 75% during the ritual.,6609,,
ACH_D3_Campaign_Ritual_1_obtained,Thalya was not badly injured during the ritual in the mission “A Disturbance In The Force”.,8556,,
ACH_D3_Campaign_Ritual_2_caption,Sacrifices!,6610,,
ACH_D3_Campaign_Ritual_2_description,Sacrifice all of the Titans within 40 minutes in the mission “A Disturbance In The Force”.,6611,,
ACH_D3_Campaign_Ritual_2_obtained,Sacrificed all of the Titans in the mission “A Disturbance In The Force” in a minimum of time.,8557,,
ACH_D3_Campaign_Ritual_Completed_caption,The Force disturbed,6606,,
ACH_D3_Campaign_Ritual_Completed_description,Complete the mission “A Disturbance In The Force”.,6607,,
ACH_D3_Campaign_Ritual_Completed_obtained,Completed the mission “A Disturbance In The Force”.,8555,,
ACH_D3_Campaign_Sacrifice_1_caption,Factory farming,6542,,
ACH_D3_Campaign_Sacrifice_1_description,Hold at least 7 Heroes in the Prison at the same time in the mission “The Prince of Hell”.,6543,,
ACH_D3_Campaign_Sacrifice_1_obtained,Held enough Heroes in the Prison at the same time in the mission “The Prince of Hell”.,8523,,
ACH_D3_Campaign_Sacrifice_2_caption,A little something extra,6544,,
ACH_D3_Campaign_Sacrifice_2_description,Get all of the bonus creatures in the mission “The Prince of Hell”.,6545,,
ACH_D3_Campaign_Sacrifice_2_obtained,Discovered all of the bonus creatures in the mission “The Prince of Hell”.,8524,,
ACH_D3_Campaign_Sacrifice_Completed_caption,Damned good,6540,,
ACH_D3_Campaign_Sacrifice_Completed_description,Complete the mission “The Prince of Hell”.,6541,,
ACH_D3_Campaign_Sacrifice_Completed_obtained,Completed the mission “The Prince of Hell”.,8522,,
ACH_D3_Campaign_Shadow_1_caption,Death and destruction!,5913,,
ACH_D3_Campaign_Shadow_1_description,Destroy 9 Heroes with Thalya's “Fire Bomb” in the mission “The Shadow of Absolute Evil”.,5916,,
ACH_D3_Campaign_Shadow_1_obtained,Destroyed enough Heroes with Thalya's “Fire Bomb” in the mission “The Shadow of Absolute Evil”.,8502,,
ACH_D3_Campaign_Shadow_2_caption,Shadow hunter,5917,,
ACH_D3_Campaign_Shadow_2_description,Don’t let the Shadow take any damage from light in the mission “The Shadow of Absolute Evil”.,5918,,
ACH_D3_Campaign_Shadow_2_obtained,The Shadow did not take any damage in the mission “The Shadow of Absolute Evil”.,8503,,
ACH_D3_Campaign_Shadow_Completed_caption,The Shadow strikes,5915,,
ACH_D3_Campaign_Shadow_Completed_description,Successfully complete the mission “The Shadow of Absolute Evil”.,5914,,
ACH_D3_Campaign_Shadow_Completed_obtained,Successfully completed the mission “The Shadow of Absolute Evil”.,8501,,
ACH_D3_Campaign_TheLast_1_caption,The Benevolent Evil,6614,,
ACH_D3_Campaign_TheLast_1_description,Save all of the Heroes Tanos wants to punish in the mission “Everything Has An End…”.,6615,,
ACH_D3_Campaign_TheLast_1_obtained,Saved all of the endangered Heroes in the mission “Everything Has An End…”.,8559,,
ACH_D3_Campaign_TheLast_2_caption,Band of Brothers,6616,,
ACH_D3_Campaign_TheLast_2_description,Don’t lose a single creature to Tanos in battle in the mission “Everything Has An End…”.,6617,,
ACH_D3_Campaign_TheLast_2_obtained,Didn’t lose a single creature to Tanos in battle in the mission “Everything Has An End…”.,8560,,
ACH_D3_Campaign_TheLast_Completed_caption,The Victorious Evil,6612,,
ACH_D3_Campaign_TheLast_Completed_description,Complete the mission “Everything Has An End…”.,6613,,
ACH_D3_Campaign_TheLast_Completed_obtained,Completed the mission “Everything Has An End…”.,8558,,
ACH_D3_Campaign_Warlock_1_caption,We don’t have time!,6556,,
ACH_D3_Campaign_Warlock_1_description,Destroy every Arcane Tear in mission “The End of Yaina Overproud” within 60 seconds maximum.,6557,,
ACH_D3_Campaign_Warlock_1_obtained,Destroyed all of the Arcane Tears in the mission “The End of Yaina Overproud” extremely quickly.,8529,,
ACH_D3_Campaign_Warlock_2_caption,Hearts are trump,6554,,
ACH_D3_Campaign_Warlock_2_description,Never let the Dungeonhearts Life Energy fall under 75% in “The End of Yaina Overproud”.,6555,,
ACH_D3_Campaign_Warlock_2_obtained,The Dungeonheart didn’t take too much damage in the mission “The End of Yaina Overproud”.,8530,,
ACH_D3_Campaign_Warlock_Completed_caption,Not-So-Overproud,6552,,
ACH_D3_Campaign_Warlock_Completed_description,Complete the mission “The End of Yaina Overproud”.,6553,,
ACH_D3_Campaign_Warlock_Completed_obtained,Completed the mission “The End of Yaina Overproud”.,8528,,
ACH_D3_Campaign_Water_1_caption,Lifeguard,6572,,
ACH_D3_Campaign_Water_1_description,Don’t lose a single creature to the water in the mission “Ups and Downs”.,6573,,
ACH_D3_Campaign_Water_1_obtained,Didn’t lose a single creature to the water in the mission “Ups and Downs”.,8538,,
ACH_D3_Campaign_Water_2_caption,"Please, no interruptions!",6574,,
ACH_D3_Campaign_Water_2_description,Stop anyone from interrupting Thalya while she contaminates the water in mission “Ups and Downs”.,6575,,
ACH_D3_Campaign_Water_2_obtained,Thalya wasn’t interrupted while contaminating the water in the mission “Ups and Downs”.,8539,,
ACH_D3_Campaign_Water_Completed_caption,Tide Master,6570,,
ACH_D3_Campaign_Water_Completed_description,Complete the mission “Ups and Downs”.,6571,,
ACH_D3_Campaign_Water_Completed_obtained,Completed the mission “Ups and Downs”.,8537,,
ACH_D3_allachievements_caption,It doesn't get more evil than this!,3334,,
ACH_D3_allachievements_description,"Congratulations, you have scored all Dungeons 3 trophies. By that we mean you snagged them all, not that you carved notches in all of them. Um, and by “snagged” we mean you earned them, not that you grabbed them using a fishing rod. Oh man, it’s a good thing nobody ever reads this stuff…",3335,,
_audiolocale,en,1467,,
_fontsize_large,32,7707,,
_fontsize_minlinespacing,0,9133,,
_fontsize_normal,26,7706,,
_fontsize_small,24,7705,,
_fontsize_smallest,16,7771,,
_format_colon,:,8341,,
_format_date,MM/dd/yyyy,2304,,
_format_decimal_group,",",8695,,
_format_decimal_separator,.,8696,,
_format_keypad,K-{Amount},2335,,enumNumber
_format_keypad_long,Number-{Amount},9218,,
_format_minutes,mm,7898,,
_format_multiplicative,×,1879,,
_format_over_infinite,{Value}/∞,8897,,
_format_per_level,(+{Value}/level),7897,,
_format_percent,%,1877,,
_format_positive,+,1878,,
_format_property_value,{Property}: {Value},8804,,
_format_seconds,s,2305,,
_format_short_time,m:ss,7896,,
_format_time,HH:mm:ss,2303,,
_format_value_property_brackets,{Value} ({Property}),8805,,
_languageName_cs,čeština (Czech),2685,,
_languageName_de,Deutsch (German),2157,,
_languageName_en,English,2158,,
_languageName_es,Español (Spanish),2160,,
_languageName_fr,Français (French),2159,,
_languageName_it,Italiano (Italian),2161,,
_languageName_ja,日本語 (Japanese),3377,,
_languageName_ko,한국어 (Korean),2164,,
_languageName_pl,Polski (Polish),2163,,
_languageName_ru,Русский (Russian),2162,,
_languageName_zh-hans,简体中文 (Simplified Chinese),8704,,
_languageName_zh-hant,繁體中文 (Traditional Chinese),2668,,
_title_name,Dungeons 3,3337,,
activity_alarm,Is alarmed.,1177,,
activity_angry,Angry,770,,
activity_bath,Bathing in Mana,544,,
activity_create_magic_toolbox,Producing Magic Toolboxes,8170,,
activity_create_magic_toolbox_detail,Number of Magical Toolboxes the creature can produce per minute of continuous work.,8792,,
activity_create_trap,Building Doors and Traps,3443,,
activity_create_trap_detail,Number of Toolboxes the creature can use to produce Doors and Traps per minute of continuous work.,8793,,
activity_dead,Is lying unconscious on the ground,549,,
activity_drink_beer,Is having a little beer,1176,,
activity_eat_guru,Eating Gobblers,3444,,
activity_evil_hand_carried,Is being carried by you,548,,
activity_fight,Is fighting for you,535,,
activity_goof_around,Is idly lolling around,546,,
activity_guard,Is guarding your dungeon,539,,
activity_heal,Is healing its wounds,545,,
activity_hero_imprisoned,Rotting in Prison,3447,,
activity_hero_tortured,Being tortured,8173,,
activity_payday_gold,Is fetching its pay,541,,
activity_produce_beer,Is brewing beer,550,,
activity_produce_beer_detail,Number of Barrels of Beer the creature can produce per minute of continuous work.,8788,,
activity_produce_mana,Is mining for mana,538,,
activity_produce_mana_detail,Amount of Mana the creature can produce per minute of continuous work.,8789,,
activity_resting,Recovering in the Final Resting Place,2529,,
activity_resurrect,Is reviving a monster,556,,
activity_resurrect_detail,Can revive a Horde creature or a converted Hero provided a Crypt has been built.,8791,,
activity_sleep,Taking a nap,3450,,
activity_talk,Socializing in the Dungeon,8171,,
activity_torture,has fun with heroes,4180,,
activity_torture_detail,Damage taken by a Hero every 5 seconds during torture. Heroes decide whether or not to change sides just before they die!,8790,,
activity_train,Is training,543,,
activity_unknown,Is doing strange things,484,,
activity_worker_bring_collectible,Is transporting goods,554,,
activity_worker_build_door,Is building a door,1174,,
activity_worker_build_gimmick,Is expanding your dungeon,553,,
activity_worker_build_room,Building a Room,8165,,
activity_worker_build_trap,Is building an insidious trap,1173,,
activity_worker_dig,Is digging out your dungeon,551,,
activity_worker_drag_creature,Is transporting an unconscious monster,555,,
activity_worker_drag_hero_graveyard,Dragging a Hero to the Graveyard,8169,,
activity_worker_drag_hero_prison,Dragging a Hero off to Prison,8168,,
activity_worker_flee,Is fleeing for its life,536,,
activity_worker_fortify_wall,Is prettying up your dungeon,540,,
activity_worker_gold_dig,Is digging for gold,552,,
activity_worker_idle,Cleaning the Throne Room,8164,,
activity_worker_produce_toolboxes,Making Toolboxes,3441,,
activity_worker_refill_bath,Filling a Mana Bath,8166,,
activity_worker_refill_laboratory,Filling the Mystificator,3449,,
activity_worker_refill_tinker_bench,Filling a Tinkerer’s Machinarium,8167,,
activity_worship,Praying in the Temple,8172,,
almanach_format_growth,{Value:Increase},8413,,
almanach_format_value,{Value},8414,,
almanach_headers_costs,Cost / General,5,,
almanach_headers_description,Description,3497,,
almanach_headers_flavour,Introduction,3,,
almanach_headers_function,Function,4,,
almanach_headers_functionshort,Short Description,6,,
almanach_headers_links,Additional Points,2,,
armor_potion_desc,Briefly increases armor.,9054,,
armor_potion_title,Armor potion,9053,,
armory_menu_upgrade_desc,"Unlocks an improved work unit for the Chaos Forge, allowing your Trolls to work even faster.",345,,
attack_potion_desc,Briefly increases damage.,9056,,
attack_potion_title,Damage potion,9055,,
attackspeed_potion_desc,Briefly increases attack speed.,9058,,
attackspeed_potion_title,Hasten potion,9057,,
buff_abstinent,No longer drinks any beer,2115,,
buff_apllied_research,Upgrade researched,2203,,
buff_area,Area of effect,1889,,
buff_armor,Armor,420,,
buff_attack_speed,Attack Speed,279,,
buff_attacks_ignore_armor,All attacks ignore armor,433,,
buff_bath,Mana requirements,8339,,
buff_bath_detail,Creature‘s Mana consumption per minute. The creature wants to take a Mana Bath every {CommonBrainData.BathInterval} seconds.,8799,,
buff_cooldown,Cooldown time,1871,,
buff_cooldown_seconds,Cooldown time in seconds,1897,,
buff_crit,Chance of landing critical hits,1985,,
buff_damage_factor,Damage,308,,
buff_damage_per_second,DPS,422,,
buff_damage_stage2,Damage (second level),2112,,
buff_duration,Effect time,2109,,
buff_energy,Energy,1986,,
buff_energy_cost,Energy consumption,1873,,
buff_energy_cost_per_second,Energy consumption per second,1874,,
buff_frugal,Not receiving any pay,2114,,
buff_generic_property_value,{Property}: {Manipulator}{Value}{PercentSign},76,,enumBuff
buff_healing,Healing,8621,,
buff_health,HP,419,,
buff_hunger,Hunger,8337,,
buff_hunger_detail,Number of Gobblers the creature wants to consume every {CommonBrainData.HungerInterval} seconds to satisfy its Hunger.,8797,,
buff_ignore_armor,Ignore armor,1987,,
buff_ignore_armor_half,Partially ignore armor,1988,,
buff_improve_room,Improves: {Property},432,,enumBuff
buff_invulnerability,Unit is invulnerable,598,,
buff_knockback,Knocks target down,1872,,
buff_mana_cost,Mana,1875,,
buff_multiplayerspellresistance,Spell resistance (Multiplayer),8886,,
buff_needs_research,Requires research,1876,,
buff_range,Range,1533,,
buff_reduced_damage_ranged,Damage from ranged attacks: -50%,2111,,
buff_regeneration_rate,Regeneration rate,78,,
buff_resistance_charm,Resistance to enchantments,2110,,
buff_resting,Rest,9205,,
buff_salary,Pay,434,,
buff_salary_detail,The Wage the creature demands every Payday.,8794,,
buff_sleep,Sleep,8338,,
buff_sleep_detail,The amount of time until the creature wants to Rest {CommonBrainData.SleepingDuration} seconds on its Bunk.,8795,,
buff_speed_factor,Movement Speed,278,,
buff_stage2,Second level after,2113,,
buff_summon,Summon,1890,,
buff_thirst,Thirst,1989,,
buff_thirst_detail,Number of Barrels of Beer the creature will require every {CommonBrainData.ThirstInterval} seconds to quench their Thirst.,8796,,
buff_timed_property_value,{Property} in seconds: {Manipulator}{Value}{PercentSign},1896,,
buff_viewingdistance,Range of view,1990,,
buff_work_speed,Work rate,415,,
buff_worship,Pray,8340,,
buff_worship_detail,Time period after which the creature will want to Pray for {CommonBrainData.WorshipDuration} seconds in the Temple.,8798,,
buildcost_evilness,Evilness {EvilnessCost} {evil},1958,,enumCost
buildcost_focus_points,Population Points {FocusPointsCost} {fp},1957,,enumCost
buildcost_gold,Build cost: {GoldCost} <sprite=gold>,340,,enumCost
buildcost_magic_toolboxes,Magic Toolboxes: {WorkshopCost} {workshop},3451,,enumCost
buildcost_mana,Mana: {ManaCost} {mana},343,,enumCost
buildcost_none,No costs!,2207,,
buildcost_toolboxes,Toolboxes: {WorkshopCost} {workshop} <sprite=toolboxes>,341,,enumCost
buildcost_used_workshop_points,Reserved for traps and doors: {WorkshopCost} {workshop},2127,,enumCost
builderror_building_only_once,You've already built this building!,10040,,
builderror_can_not_fill,This tile cannot be filled up,423,,
builderror_dependency_not_met,Requirement not met,285,,
builderror_focus_points_maxed,Maximum number of population points reached,483,,
builderror_general_problem,Cannot be built here!,4875,,
builderror_gimmick_destroy_forbidden,That can’t be demolished!,3442,,
builderror_maxed,Maximum number reached,449,,
builderror_must_not_in_room,Cannot be built within a room,70,,
builderror_needs_digged_tile,Not enough free space!,4874,,
builderror_needs_gimmick,Requires an existing “{GimmickType}”.,9134,,
builderror_needs_room,Can only be built in a “{RoomType}” room,494,,enumGimmick
builderror_needs_wall,Requires an adjacent wall!,4873,,
builderror_no_mana_crystal,Requires a Mana Crystal,453,,
builderror_not_enough_focus_points,Not enough available population points,478,,
builderror_only_one_titan,You can only have one of each type of Titan Unit! Get rid of your previous Titans to hire a new one!,4273,,
builderror_position_blocked,This site is already taken,69,,
builderror_room_forbidden,No room may be built here,498,,
builderror_room_not_owned,This room does not belong to you,414,,
builderror_room_too_small,This room is too small,282,,
builderror_too_close_to_other_room,Too close to another Room!,9217,,
builderror_too_many_creatures,You have reached your creature limit. You must fire some creatures before you can hire any more.,2832,,
casterror_already_used_coop,Your fellow player is already using this Skill.,7046,,
casterror_invalid_target,Target not valid,74,,
casterror_invalid_time,Cannot currently use skill,281,,
casterror_needs_line_of_walk,Must be cast near one of your creatures!,8372,,
casterror_no_target_found,No target found!,2565,,
casterror_not_enough_energy,Not enough energy,73,,
casterror_not_enough_health,Not enough HP,599,,
casterror_not_enough_mana,Not enough mana,280,,
casterror_not_enough_resources,Not enough resources available!,10039,,
casterror_not_learned,Skill not yet learned,75,,
casterror_on_cooldown,Skill not yet available,72,,
casterror_only_home_region,Can only be used in the Dungeon!,493,,
casterror_only_outside,Can only be used on the surface!,5999,,
